Technique_ID,Technique_Name,Tactic_ID,Tactic_Name,Parent_Technique_ID,URL
T1593.002,Search Open Websites/Domains:  Search Engines,TA0043,Reconnaissance,T1593,https://attack.mitre.org/techniques/T1593/002/
T1593.003,Search Open Websites/Domains:  Code Repositories,TA0043,Reconnaissance,T1593,https://attack.mitre.org/techniques/T1593/003/
T1594,Search Victim-Owned Websites,TA0043,Reconnaissance,<none>,https://attack.mitre.org/techniques/T1594/
T1650,Acquire Access,TA0042,Resource Development,<none>,https://attack.mitre.org/techniques/T1650/
T1583,Acquire Infrastructure,TA0042,Resource Development,<none>,https://attack.mitre.org/techniques/T1583/
T1583.001,Acquire Infrastructure:  Domains,TA0042,Resource Development,T1583,https://attack.mitre.org/techniques/T1583/001/
T1583.002,Acquire Infrastructure:  DNS Server,TA0042,Resource Development,T1583,https://attack.mitre.org/techniques/T1583/002/
T1583.003,Acquire Infrastructure:  Virtual Private Server,TA0042,Resource Development,T1583,https://attack.mitre.org/techniques/T1583/003/
T1583.004,Acquire Infrastructure:  Server,TA0042,Resource Development,T1583,https://attack.mitre.org/techniques/T1583/004/
T1583.005,Acquire Infrastructure:  Botnet,TA0042,Resource Development,T1583,https://attack.mitre.org/techniques/T1583/005/
T1583.006,Acquire Infrastructure:  Web Services,TA0042,Resource Development,T1583,https://attack.mitre.org/techniques/T1583/006/
T1583.007,Acquire Infrastructure:  Serverless,TA0042,Resource Development,T1583,https://attack.mitre.org/techniques/T1583/007/
T1583.008,Acquire Infrastructure:  Malvertising,TA0042,Resource Development,T1583,https://attack.mitre.org/techniques/T1583/008/
T1586,Compromise Accounts,TA0042,Resource Development,<none>,https://attack.mitre.org/techniques/T1586/
T1586.001,Compromise Accounts:  Social Media Accounts,TA0042,Resource Development,T1586,https://attack.mitre.org/techniques/T1586/001/
T1586.002,Compromise Accounts:  Email Accounts,TA0042,Resource Development,T1586,https://attack.mitre.org/techniques/T1586/002/
T1586.003,Compromise Accounts:  Cloud Accounts,TA0042,Resource Development,T1586,https://attack.mitre.org/techniques/T1586/003/
T1584,Compromise Infrastructure,TA0042,Resource Development,<none>,https://attack.mitre.org/techniques/T1584/
T1584.001,Compromise Infrastructure:  Domains,TA0042,Resource Development,T1584,https://attack.mitre.org/techniques/T1584/001/
T1584.002,Compromise Infrastructure:  DNS Server,TA0042,Resource Development,T1584,https://attack.mitre.org/techniques/T1584/002/
T1584.003,Compromise Infrastructure:  Virtual Private Server,TA0042,Resource Development,T1584,https://attack.mitre.org/techniques/T1584/003/
T1584.004,Compromise Infrastructure:  Server,TA0042,Resource Development,T1584,https://attack.mitre.org/techniques/T1584/004/
T1584.005,Compromise Infrastructure:  Botnet,TA0042,Resource Development,T1584,https://attack.mitre.org/techniques/T1584/005/
T1584.006,Compromise Infrastructure:  Web Services,TA0042,Resource Development,T1584,https://attack.mitre.org/techniques/T1584/006/
T1584.007,Compromise Infrastructure:  Serverless,TA0042,Resource Development,T1584,https://attack.mitre.org/techniques/T1584/007/
T1587,Develop Capabilities,TA0042,Resource Development,<none>,https://attack.mitre.org/techniques/T1587/
T1587.001,Develop Capabilities:  Malware,TA0042,Resource Development,T1587,https://attack.mitre.org/techniques/T1587/001/
T1587.002,Develop Capabilities:  Code Signing Certificates,TA0042,Resource Development,T1587,https://attack.mitre.org/techniques/T1587/002/
T1587.003,Develop Capabilities:  Digital Certificates,TA0042,Resource Development,T1587,https://attack.mitre.org/techniques/T1587/003/
T1587.004,Develop Capabilities:  Exploits,TA0042,Resource Development,T1587,https://attack.mitre.org/techniques/T1587/004/
T1585,Establish Accounts,TA0042,Resource Development,<none>,https://attack.mitre.org/techniques/T1585/
T1585.001,Establish Accounts:  Social Media Accounts,TA0042,Resource Development,T1585,https://attack.mitre.org/techniques/T1585/001/
T1585.002,Establish Accounts:  Email Accounts,TA0042,Resource Development,T1585,https://attack.mitre.org/techniques/T1585/002/
T1585.003,Establish Accounts:  Cloud Accounts,TA0042,Resource Development,T1585,https://attack.mitre.org/techniques/T1585/003/
T1588,Obtain Capabilities,TA0042,Resource Development,<none>,https://attack.mitre.org/techniques/T1588/
T1588.001,Obtain Capabilities:  Malware,TA0042,Resource Development,T1588,https://attack.mitre.org/techniques/T1588/001/
T1588.002,Obtain Capabilities:  Tool,TA0042,Resource Development,T1588,https://attack.mitre.org/techniques/T1588/002/
T1588.003,Obtain Capabilities:  Code Signing Certificates,TA0042,Resource Development,T1588,https://attack.mitre.org/techniques/T1588/003/
T1588.004,Obtain Capabilities:  Digital Certificates,TA0042,Resource Development,T1588,https://attack.mitre.org/techniques/T1588/004/
T1588.005,Obtain Capabilities:  Exploits,TA0042,Resource Development,T1588,https://attack.mitre.org/techniques/T1588/005/
T1588.006,Obtain Capabilities:  Vulnerabilities,TA0042,Resource Development,T1588,https://attack.mitre.org/techniques/T1588/006/
T1608,Stage Capabilities,TA0042,Resource Development,<none>,https://attack.mitre.org/techniques/T1608/
T1608.001,Stage Capabilities:  Upload Malware,TA0042,Resource Development,T1608,https://attack.mitre.org/techniques/T1608/001/
T1608.002,Stage Capabilities:  Upload Tool,TA0042,Resource Development,T1608,https://attack.mitre.org/techniques/T1608/002/
T1608.003,Stage Capabilities:  Install Digital Certificate,TA0042,Resource Development,T1608,https://attack.mitre.org/techniques/T1608/003/
T1608.004,Stage Capabilities:  Drive-by Target,TA0042,Resource Development,T1608,https://attack.mitre.org/techniques/T1608/004/
T1608.005,Stage Capabilities:  Link Target,TA0042,Resource Development,T1608,https://attack.mitre.org/techniques/T1608/005/
T1608.006,Stage Capabilities:  SEO Poisoning,TA0042,Resource Development,T1608,https://attack.mitre.org/techniques/T1608/006/
T1659,Content Injection,TA0001,Initial Access,<none>,https://attack.mitre.org/techniques/T1659/
T1189,Drive-by Compromise,TA0001,Initial Access,<none>,https://attack.mitre.org/techniques/T1189/
T1190,Exploit Public-Facing Application,TA0001,Initial Access,<none>,https://attack.mitre.org/techniques/T1190/
T1133,External Remote Services,TA0001,Initial Access,<none>,https://attack.mitre.org/techniques/T1133/
T1200,Hardware Additions,TA0001,Initial Access,<none>,https://attack.mitre.org/techniques/T1200/
T1566,Phishing,TA0001,Initial Access,<none>,https://attack.mitre.org/techniques/T1566/
T1566.001,Phishing:  Spearphishing Attachment,TA0001,Initial Access,T1566,https://attack.mitre.org/techniques/T1566/001/
T1566.002,Phishing:  Spearphishing Link,TA0001,Initial Access,T1566,https://attack.mitre.org/techniques/T1566/002/
T1566.003,Phishing:  Spearphishing via Service,TA0001,Initial Access,T1566,https://attack.mitre.org/techniques/T1566/003/
T1566.004,Phishing:  Spearphishing Voice,TA0001,Initial Access,T1566,https://attack.mitre.org/techniques/T1566/004/
T1091,Replication Through Removable Media,TA0001,Initial Access,<none>,https://attack.mitre.org/techniques/T1091/
T1195,Supply Chain Compromise,TA0001,Initial Access,<none>,https://attack.mitre.org/techniques/T1195/
T1195.001,Supply Chain Compromise:  Compromise Software Dependencies and Development Tools,TA0001,Initial Access,T1195,https://attack.mitre.org/techniques/T1195/001/
T1195.002,Supply Chain Compromise:  Copromise Software Supply Chain,TA0001,Initial Access,T1195,https://attack.mitre.org/techniques/T1195/002/
T1195.003,Supply Chain Compromise:  Compromise Hardware Supply Chain,TA0001,Initial Access,T1195,https://attack.mitre.org/techniques/T1195/003/
T1199,Trusted Relationship,TA0001,Initial Access,<none>,https://attack.mitre.org/techniques/T1199/
T1078,Valid Accounts,TA0001,Initial Access,<none>,https://attack.mitre.org/techniques/T1078/
T1078.001,Valid Accounts:  Default Accounts,TA0001,Initial Access,T1078,https://attack.mitre.org/techniques/T1078/001/
T1078.002,Valid Accounts:  Domain Accounts,TA0001,Initial Access,T1078,https://attack.mitre.org/techniques/T1078/002/
T1078.003,Valid Accounts:  Local Accounts,TA0001,Initial Access,T1078,https://attack.mitre.org/techniques/T1078/003/
T1078.004,Valid Accounts:  Cloud Accounts,TA0001,Initial Access,T1078,https://attack.mitre.org/techniques/T1078/004/
T1651,Cloud Administration Command,TA0002,Execution,<none>,https://attack.mitre.org/techniques/T1651/
T1059,Command and Scripting Interpreter,TA0002,Execution,<none>,https://attack.mitre.org/techniques/T1059/
T1059.001,Command and Scripting Interpreter:  Powershell,TA0002,Execution,T1059,https://attack.mitre.org/techniques/T1059/001/
T1059.002,Command and Scripting Interpreter:  AppleScript,TA0002,Execution,T1059,https://attack.mitre.org/techniques/T1059/002/
T1059.003,Command and Scripting Interpreter:  Windows Command Shell,TA0002,Execution,T1059,https://attack.mitre.org/techniques/T1059/003/
T1059.004,Command and Scripting Interpreter:  Unix Shell,TA0002,Execution,T1059,https://attack.mitre.org/techniques/T1059/004/
T1059.005,Command and Scripting Interpreter:  Visual Basic,TA0002,Execution,T1059,https://attack.mitre.org/techniques/T1059/005/
T1059.006,Command and Scripting Interpreter:  Python,TA0002,Execution,T1059,https://attack.mitre.org/techniques/T1059/006/
T1059.007,Command and Scripting Interpreter:  JavaScript,TA0002,Execution,T1059,https://attack.mitre.org/techniques/T1059/007/
T1059.008,Command and Scripting Interpreter:  Network Device CLI,TA0002,Execution,T1059,https://attack.mitre.org/techniques/T1059/008/
T1059.009,Command and Scripting Interpreter:  Cloud API,TA0002,Execution,T1059,https://attack.mitre.org/techniques/T1059/009/
T1609,Container Administration Command,TA0002,Execution,<none>,https://attack.mitre.org/techniques/T1609/
T1610,Deploy Container,TA0002,Execution,<none>,https://attack.mitre.org/techniques/T1610/
T1203,Exploitation for Client Execution,TA0002,Execution,<none>,https://attack.mitre.org/techniques/T1203/
T1559,Inter-Process Communication,TA0002,Execution,<none>,https://attack.mitre.org/techniques/T1559/
T1559.001,Inter-Process Communication:  Component Object Model,TA0002,Execution,T1559,https://attack.mitre.org/techniques/T1559/001/
T1559.002,Inter-Process Communication:  Dynamic Data Exchange,TA0002,Execution,T1559,https://attack.mitre.org/techniques/T1559/002/
T1559.003,Inter-Process Communication:  XPC Services,TA0002,Execution,T1559,https://attack.mitre.org/techniques/T1559/003/
T1106,Native API,TA0002,Execution,<none>,https://attack.mitre.org/techniques/T1106/
T1053,Scheduled Task / Job,TA0002,Execution,<none>,https://attack.mitre.org/techniques/T1053/
T1053.002,Scheduled Task / Job:  At,TA0002,Execution,T1053,https://attack.mitre.org/techniques/T1053/002/
T1053.003,Scheduled Task / Job:  Cron,TA0002,Execution,T1053,https://attack.mitre.org/techniques/T1053/003/
T1053.005,Scheduled Task / Job:  Scheduled Task,TA0002,Execution,T1053,https://attack.mitre.org/techniques/T1053/005/
T1053.006,Scheduled Task / Job:  Systemd Timers,TA0002,Execution,T1053,https://attack.mitre.org/techniques/T1053/006/
T1053.007,Scheduled Task / Job:  Container Orchestration Job,TA0002,Execution,T1053,https://attack.mitre.org/techniques/T1053/007/
T1648,Serverless Execution,TA0002,Execution,<none>,https://attack.mitre.org/techniques/T1648/
T1129,Shared Modules,TA0002,Execution,<none>,https://attack.mitre.org/techniques/T1129/
T1072,Software Deployment Tools,TA0002,Execution,<none>,https://attack.mitre.org/techniques/T1072/
T1569,System Services,TA0002,Execution,<none>,https://attack.mitre.org/techniques/T1569/
T1569.001,System Services:  Launchctl,TA0002,Execution,T1569,https://attack.mitre.org/techniques/T1569/001/
T1569.002,System Services:  Service Execution,TA0002,Execution,T1569,https://attack.mitre.org/techniques/T1569/002/
T1204,User Execution,TA0002,Execution,<none>,https://attack.mitre.org/techniques/T1204/
T1204.001,User Execution:  Malicious Link,TA0002,Execution,T1204,https://attack.mitre.org/techniques/T1204/001/
T1204.002,User Execution:  Malicious File,TA0002,Execution,T1204,https://attack.mitre.org/techniques/T1204/002/
T1204.003,User Execution:  Malicious Image,TA0002,Execution,T1204,https://attack.mitre.org/techniques/T1204/003/
T1047,Windows Management Instrumentation,TA0002,Execution,<none>,https://attack.mitre.org/techniques/T1047/
T1098,Account Manipulation,TA0003,Persistence,<none>,https://attack.mitre.org/techniques/T1098/
T1098.001,Account Manipulation:  Additional Cloud Credentials,TA0003,Persistence,T1098,https://attack.mitre.org/techniques/T1098/001/
T1098.002,Account Manipulation:  Additional Email Delegate Permissions,TA0003,Persistence,T1098,https://attack.mitre.org/techniques/T1098/002/
T1098.003,Account Manipulation:  Additional Cloud Roles,TA0003,Persistence,T1098,https://attack.mitre.org/techniques/T1098/003/
T1098.004,Account Manipulation:  SSH Authorized Keys,TA0003,Persistence,T1098,https://attack.mitre.org/techniques/T1098/004/
T1098.005,Account Manipulation:  Device Registration,TA0003,Persistence,T1098,https://attack.mitre.org/techniques/T1098/005/
T1098.006,Account Manipulation:  Additional Contianer Cluster Roles,TA0003,Persistence,T1098,https://attack.mitre.org/techniques/T1098/006/
T1197,BITS Jobs,TA0003,Persistence,<none>,https://attack.mitre.org/techniques/T1197/
T1547,Boot or Logon Autostart Execution,TA0003,Persistence,<none>,https://attack.mitre.org/techniques/T1547/
T1547.001,Boot or Logon Autostart Execution:  Registry Run Keys / Startup Folder,TA0003,Persistence,T1547,https://attack.mitre.org/techniques/T1547/001/
T1547.002,Boot or Logon Autostart Execution:  Authentication Package,TA0003,Persistence,T1547,https://attack.mitre.org/techniques/T1547/002/
T1547.003,Boot or Logon Autostart Execution:  Time Providers,TA0003,Persistence,T1547,https://attack.mitre.org/techniques/T1547/003/
T1547.004,Boot or Logon Autostart Execution:  Winlogon Helper DLL,TA0003,Persistence,T1547,https://attack.mitre.org/techniques/T1547/004/
T1547.005,Boot or Logon Autostart Execution:  Security Support Provider,TA0003,Persistence,T1547,https://attack.mitre.org/techniques/T1547/005/
T1547.006,Boot or Logon Autostart Execution:  Kernel Modules and Extensions,TA0003,Persistence,T1547,https://attack.mitre.org/techniques/T1547/006/
T1547.007,Boot or Logon Autostart Execution:  Re-opened Applications,TA0003,Persistence,T1547,https://attack.mitre.org/techniques/T1547/007/
T1547.008,Boot or Logon Autostart Execution:  LSASS Driver,TA0003,Persistence,T1547,https://attack.mitre.org/techniques/T1547/008/
T1547.009,Boot or Logon Autostart Execution:  Shortcut Modification,TA0003,Persistence,T1547,https://attack.mitre.org/techniques/T1547/009/
T1547.010,Boot or Logon Autostart Execution:  Port Monitors,TA0003,Persistence,T1547,https://attack.mitre.org/techniques/T1547/010/
T1547.012,Boot or Logon Autostart Execution:  Print Processors,TA0003,Persistence,T1547,https://attack.mitre.org/techniques/T1547/012/
T1547.013,Boot or Logon Autostart Execution:  XDG Autostart Entries,TA0003,Persistence,T1547,https://attack.mitre.org/techniques/T1547/013/
T1547.014,Boot or Logon Autostart Execution:  Active Setup,TA0003,Persistence,T1547,https://attack.mitre.org/techniques/T1547/014/
T1547.015,Boot or Logon Autostart Execution:  Login Items,TA0003,Persistence,T1547,https://attack.mitre.org/techniques/T1547/015/
T1037,Boot or Logon Initialization Scripts,TA0003,Persistence,<none>,https://attack.mitre.org/techniques/T1037/
T1037.001,Boot or Logon Initialization Scripts:  Logon Script (Windows),TA0003,Persistence,T1037,https://attack.mitre.org/techniques/T1037/001/
T1037.002,Boot or Logon Initialization Scripts:  Login Hook,TA0003,Persistence,T1037,https://attack.mitre.org/techniques/T1037/002/
T1037.003,Boot or Logon Initialization Scripts:  Network Logon Script,TA0003,Persistence,T1037,https://attack.mitre.org/techniques/T1037/003/
T1037.004,Boot or Logon Initialization Scripts:  RC Scripts,TA0003,Persistence,T1037,https://attack.mitre.org/techniques/T1037/004/
T1037.005,Boot or Logon Initialization Scripts:  Startup Items,TA0003,Persistence,T1037,https://attack.mitre.org/techniques/T1037/005/
T1176,Browser Extensions,TA0003,Persistence,<none>,https://attack.mitre.org/techniques/T1176/
T1554,Compromise Client Software Binary,TA0003,Persistence,<none>,https://attack.mitre.org/techniques/T1554/
T1136,Create Account,TA0003,Persistence,<none>,https://attack.mitre.org/techniques/T1136/
T1136.001,Create Account:  Local Account,TA0003,Persistence,<none>,https://attack.mitre.org/techniques/T1136.001/
T1136.002,Create Account:  Domain Account,TA0003,Persistence,<none>,https://attack.mitre.org/techniques/T1136.002/
T1136.003,Create Account:  Cloud Account,TA0003,Persistence,<none>,https://attack.mitre.org/techniques/T1136.003/
T1543,Create or Modify System Process,TA0003,Persistence,<none>,https://attack.mitre.org/techniques/T1543/
T1543.001,Create or Modify System Process:  Launch Agent,TA0003,Persistence,T1543,https://attack.mitre.org/techniques/T1543/001/
T1543.002,Create or Modify System Process:  Systemd Service,TA0003,Persistence,T1543,https://attack.mitre.org/techniques/T1543/002/
T1543.003,Create or Modify System Process:  Windows Service,TA0003,Persistence,T1543,https://attack.mitre.org/techniques/T1543/003/
T1543.004,Create or Modify System Process:  Launch Daemon,TA0003,Persistence,T1543,https://attack.mitre.org/techniques/T1543/004/
T1546,Event Triggered Execution,TA0003,Persistence,<none>,https://attack.mitre.org/techniques/T1546/
T1546.001,Event Triggered Execution:  Change Default File Association,TA0003,Persistence,T1546,https://attack.mitre.org/techniques/T1546/001/
T1546.002,Event Triggered Execution:  Screensaver,TA0003,Persistence,T1546,https://attack.mitre.org/techniques/T1546/002/
T1546.003,Event Triggered Execution:  Windows Management Instrumentation Event Subscription,TA0003,Persistence,T1546,https://attack.mitre.org/techniques/T1546/003/
T1546.004,Event Triggered Execution:  Unix Shell Configuration Modification,TA0003,Persistence,T1546,https://attack.mitre.org/techniques/T1546/004/
T1546.005,Event Triggered Execution:  Trap,TA0003,Persistence,T1546,https://attack.mitre.org/techniques/T1546/005/
T1546.006,Event Triggered Execution:  LC_LOAD_DYLIB Addition,TA0003,Persistence,T1546,https://attack.mitre.org/techniques/T1546/006/
T1546.007,Event Triggered Execution:  Netsh Helper DLL,TA0003,Persistence,T1546,https://attack.mitre.org/techniques/T1546/007/
T1546.008,Event Triggered Execution:  Accessibility Features,TA0003,Persistence,T1546,https://attack.mitre.org/techniques/T1546/008/
T1546.009,Event Triggered Execution:  AppCert DLLs,TA0003,Persistence,T1546,https://attack.mitre.org/techniques/T1546/009/
T1546.010,Event Triggered Execution:  AppInit DLLs,TA0003,Persistence,T1546,https://attack.mitre.org/techniques/T1546/010/
T1546.011,Event Triggered Execution:  Application Shimming,TA0003,Persistence,T1546,https://attack.mitre.org/techniques/T1546/011/
T1546.012,Event Triggered Execution:  Image File Execution Options Injection,TA0003,Persistence,T1546,https://attack.mitre.org/techniques/T1546/012/
T1546.013,Event Triggered Execution:  Powershell Profile,TA0003,Persistence,T1546,https://attack.mitre.org/techniques/T1546/013/
T1546.014,Event Triggered Execution:  Emond,TA0003,Persistence,T1546,https://attack.mitre.org/techniques/T1546/014/
T1546.015,Event Triggered Execution:  Component Object Model Hijacking,TA0003,Persistence,T1546,https://attack.mitre.org/techniques/T1546/015/
T1546.016,Event Triggered Execution:  Installer Packages,TA0003,Persistence,T1546,https://attack.mitre.org/techniques/T1546/016/
T1133,External Remote Services,TA0003,Persistence,<none>,https://attack.mitre.org/techniques/T1133/
T1574,Hijack Execution Flow,TA0003,Persistence,<none>,https://attack.mitre.org/techniques/T1574/
T1574.001,Hijack Execution Flow:  DLL Search Order Hijacking,TA0003,Persistence,T1574,https://attack.mitre.org/techniques/T1574/001/
T1574.002,Hijack Execution Flow:  DLL Side-Loading,TA0003,Persistence,T1574,https://attack.mitre.org/techniques/T1574/002/
T1574.004,Hijack Execution Flow:  Dylib Hijacking,TA0003,Persistence,T1574,https://attack.mitre.org/techniques/T1574/004/
T1574.005,Hijack Execution Flow:  Executable Installer File Permissions Weakness,TA0003,Persistence,T1574,https://attack.mitre.org/techniques/T1574/005/
T1574.006,Hijack Execution Flow:  Dynamic Linker Hijacking,TA0003,Persistence,T1574,https://attack.mitre.org/techniques/T1574/006/
T1574.007,Hijack Execution Flow:  Path Interception by PATH Environment Variable,TA0003,Persistence,T1574,https://attack.mitre.org/techniques/T1574/007/
T1574.008,Hijack Execution Flow:  Path Interception by Search Order Hijacking,TA0003,Persistence,T1574,https://attack.mitre.org/techniques/T1574/008/
T1574.009,Hijack Execution Flow:  Path Interception by Unquoted Path,TA0003,Persistence,T1574,https://attack.mitre.org/techniques/T1574/009/
T1574.010,Hijack Execution Flow:  Services File Permissions Weakness,TA0003,Persistence,T1574,https://attack.mitre.org/techniques/T1574/010/
T1574.011,Hijack Execution Flow:  Services Registry Permissions Weakness,TA0003,Persistence,T1574,https://attack.mitre.org/techniques/T1574/011/
T1574.012,Hijack Execution Flow:  COR_PROFILER,TA0003,Persistence,T1574,https://attack.mitre.org/techniques/T1574/012/
T1574.013,Hijack Execution Flow:  KernelCallbackTable,TA0003,Persistence,T1574,https://attack.mitre.org/techniques/T1574/013/
T1525,Implant Internal Image,TA0003,Persistence,<none>,https://attack.mitre.org/techniques/T1525/
T1556,Modify Authentication Process,TA0003,Persistence,<none>,https://attack.mitre.org/techniques/T1556/
T1556.001,Modify Authentication Process:  Domain Controller Authentication,TA0003,Persistence,T1556,https://attack.mitre.org/techniques/T1556/001/
T1556.002,Modify Authentication Process:  Password Filter DLL,TA0003,Persistence,T1556,https://attack.mitre.org/techniques/T1556/002/
T1556.003,Modify Authentication Process:  Pluggable Authentication Modules,TA0003,Persistence,T1556,https://attack.mitre.org/techniques/T1556/003/
T1556.004,Modify Authentication Process:  Network Device Authentication,TA0003,Persistence,T1556,https://attack.mitre.org/techniques/T1556/004/
T1556.005,Modify Authentication Process:  Reversible Encryption,TA0003,Persistence,T1556,https://attack.mitre.org/techniques/T1556/005/
T1556.006,Modify Authentication Process:  Multi-Factor Authentication,TA0003,Persistence,T1556,https://attack.mitre.org/techniques/T1556/006/
T1556.007,Modify Authentication Process:  Hybrid Identity,TA0003,Persistence,T1556,https://attack.mitre.org/techniques/T1556/007/
T1556.008,Modify Authentication Process:  Network Provider DLL,TA0003,Persistence,T1556,https://attack.mitre.org/techniques/T1556/008/
T1137,Office Application Startup,TA0003,Persistence,<none>,https://attack.mitre.org/techniques/T1137/
T1137.001,Office Application Startup:  Office Template Macros,TA0003,Persistence,T1137,https://attack.mitre.org/techniques/T1137/001/
T1137.002,Office Template Macros:  Office Test,TA0003,Persistence,T1137,https://attack.mitre.org/techniques/T1137/002/
T1137.003,Office Template Macros:  Outlook Forms,TA0003,Persistence,T1137,https://attack.mitre.org/techniques/T1137/003/
T1137.004,Office Template Macros:  Outlook Home Page,TA0003,Persistence,T1137,https://attack.mitre.org/techniques/T1137/004/
T1137.005,Office Template Macros:  Outlook Rules,TA0003,Persistence,T1137,https://attack.mitre.org/techniques/T1137/005/
T1137.006,Office Template Macros:  Add-ins,TA0003,Persistence,T1137,https://attack.mitre.org/techniques/T1137/006/
T1653,Power Settings,TA0003,Persistence,<none>,https://attack.mitre.org/techniques/T1653/
T1542,Pre-OS Boot,TA0003,Persistence,<none>,https://attack.mitre.org/techniques/T1542/
